n,p,total_logical_error_rate,x_logical_error_rate,z_logical_error_rate
4,0.001,0.0008,0.0008,0.0006
4,0.0012742749857031334,0.0009,0.0009,0.0005
4,0.0016237767391887208,0.0015,0.0015,0.0006
4,0.00206913808111479,0.002,0.002,0.0012
4,0.0026366508987303583,0.0033,0.0033,0.0019
4,0.003359818286283781,0.0041,0.0041,0.0026
4,0.004281332398719396,0.0035,0.0035,0.0018
4,0.00545559478116852,0.0055,0.0055,0.0023
4,0.0069519279617756054,0.0061,0.0061,0.0032
4,0.008858667904100823,0.0093,0.0093,0.0045
4,0.011288378916846888,0.0113,0.0112,0.0063
4,0.01438449888287663,0.0151,0.015,0.0076
4,0.018329807108324356,0.0182,0.0181,0.0093
4,0.023357214690901212,0.0231,0.0229,0.0119
4,0.029763514416313176,0.0298,0.0298,0.0138
4,0.0379269019073225,0.0357,0.0354,0.0174
4,0.04832930238571752,0.0471,0.0467,0.0222
4,0.06158482110660261,0.0618,0.0608,0.0303
4,0.07847599703514611,0.0777,0.0763,0.0417
4,0.1,0.0966,0.0941,0.0484
6,0.001,0.0008,0.0008,0.0005
6,0.0012742749857031334,0.0013,0.0013,0.0008
6,0.0016237767391887208,0.0014,0.0014,0.0007
6,0.00206913808111479,0.002,0.002,0.0011
6,0.0026366508987303583,0.0024,0.0024,0.0011
6,0.003359818286283781,0.003,0.003,0.0017
6,0.004281332398719396,0.0047,0.0047,0.0025
6,0.00545559478116852,0.006,0.006,0.0035
6,0.0069519279617756054,0.0072,0.0072,0.0029
6,0.008858667904100823,0.0091,0.0091,0.0052
6,0.011288378916846888,0.0113,0.0112,0.0057
6,0.01438449888287663,0.0177,0.0177,0.0087
6,0.018329807108324356,0.0173,0.0173,0.0079
6,0.023357214690901212,0.0232,0.0229,0.0114
6,0.029763514416313176,0.0283,0.0282,0.0156
6,0.0379269019073225,0.0353,0.0347,0.0178
6,0.04832930238571752,0.0434,0.0425,0.0196
6,0.06158482110660261,0.0634,0.0625,0.0312
6,0.07847599703514611,0.081,0.0794,0.0402
6,0.1,0.1,0.0967,0.0516
8,0.001,0.0009,0.0009,0.0003
8,0.0012742749857031334,0.0012,0.0012,0.0005
8,0.0016237767391887208,0.0015,0.0015,0.0008
8,0.00206913808111479,0.0015,0.0015,0.001
8,0.0026366508987303583,0.0031,0.0031,0.0017
8,0.003359818286283781,0.0037,0.0037,0.0014
8,0.004281332398719396,0.0038,0.0038,0.0023
8,0.00545559478116852,0.0073,0.0073,0.0035
8,0.0069519279617756054,0.007,0.007,0.003
8,0.008858667904100823,0.0091,0.0091,0.0046
8,0.011288378916846888,0.0109,0.0109,0.0049
8,0.01438449888287663,0.0121,0.012,0.0061
8,0.018329807108324356,0.016,0.016,0.0076
8,0.023357214690901212,0.0223,0.0222,0.0103
8,0.029763514416313176,0.0303,0.0299,0.0142
8,0.0379269019073225,0.039,0.0384,0.0199
8,0.04832930238571752,0.0462,0.0457,0.0225
8,0.06158482110660261,0.0598,0.0583,0.0314
8,0.07847599703514611,0.0769,0.0752,0.0402
8,0.1,0.0963,0.0936,0.0519
12,0.001,0.0,0.0,0.0
12,0.0012742749857031334,0.0,0.0,0.0
12,0.0016237767391887208,0.0001,0.0001,0.0
12,0.00206913808111479,0.0003,0.0003,0.0001
12,0.0026366508987303583,0.0003,0.0003,0.0
12,0.003359818286283781,0.0001,0.0001,0.0
12,0.004281332398719396,0.0001,0.0001,0.0
12,0.00545559478116852,0.0004,0.0004,0.0002
12,0.0069519279617756054,0.001,0.001,0.0004
12,0.008858667904100823,0.0015,0.0015,0.0006
12,0.011288378916846888,0.0023,0.0023,0.0007
12,0.01438449888287663,0.0031,0.0031,0.0005
12,0.018329807108324356,0.0052,0.0051,0.0017
12,0.023357214690901212,0.0084,0.0083,0.0023
12,0.029763514416313176,0.0122,0.0115,0.0033
12,0.0379269019073225,0.0209,0.0204,0.0065
12,0.04832930238571752,0.0309,0.0301,0.0086
12,0.06158482110660261,0.0499,0.0485,0.0133
12,0.07847599703514611,0.0783,0.0746,0.0213
12,0.1,0.1198,0.1113,0.0343
14,0.001,0.0,0.0,0.0
14,0.0012742749857031334,0.0001,0.0001,0.0
14,0.0016237767391887208,0.0,0.0,0.0
14,0.00206913808111479,0.0001,0.0001,0.0001
14,0.0026366508987303583,0.0003,0.0003,0.0002
14,0.003359818286283781,0.0,0.0,0.0
14,0.004281332398719396,0.0002,0.0002,0.0
14,0.00545559478116852,0.0003,0.0003,0.0
14,0.0069519279617756054,0.0009,0.0009,0.0002
14,0.008858667904100823,0.0006,0.0006,0.0001
14,0.011288378916846888,0.0017,0.0017,0.0003
14,0.01438449888287663,0.0027,0.0027,0.001
14,0.018329807108324356,0.0047,0.0047,0.0007
14,0.023357214690901212,0.0079,0.0077,0.0024
14,0.029763514416313176,0.0129,0.0126,0.0025
14,0.0379269019073225,0.0214,0.0211,0.0051
14,0.04832930238571752,0.033,0.0318,0.0081
14,0.06158482110660261,0.0559,0.053,0.0151
14,0.07847599703514611,0.0833,0.0793,0.0225
14,0.1,0.1351,0.1242,0.0371
16,0.001,0.0,0.0,0.0
16,0.0012742749857031334,0.0001,0.0001,0.0
16,0.0016237767391887208,0.0,0.0,0.0
16,0.00206913808111479,0.0,0.0,0.0
16,0.0026366508987303583,0.0,0.0,0.0
16,0.003359818286283781,0.0001,0.0001,0.0001
16,0.004281332398719396,0.0,0.0,0.0
16,0.00545559478116852,0.0004,0.0004,0.0
16,0.0069519279617756054,0.0008,0.0008,0.0001
16,0.008858667904100823,0.0007,0.0007,0.0003
16,0.011288378916846888,0.0008,0.0008,0.0002
16,0.01438449888287663,0.0019,0.0019,0.0003
16,0.018329807108324356,0.0034,0.0034,0.0006
16,0.023357214690901212,0.0065,0.0064,0.0012
16,0.029763514416313176,0.0102,0.01,0.0031
16,0.0379269019073225,0.02,0.0194,0.0047
16,0.04832930238571752,0.03,0.0295,0.005
16,0.06158482110660261,0.0524,0.051,0.0136
16,0.07847599703514611,0.078,0.0735,0.0176
16,0.1,0.1253,0.1168,0.0318
18,0.001,0.0,0.0,0.0
18,0.0012742749857031334,0.0,0.0,0.0
18,0.0016237767391887208,0.0,0.0,0.0
18,0.00206913808111479,0.0,0.0,0.0
18,0.0026366508987303583,0.0,0.0,0.0
18,0.003359818286283781,0.0001,0.0001,0.0001
18,0.004281332398719396,0.0,0.0,0.0
18,0.00545559478116852,0.0001,0.0001,0.0001
18,0.0069519279617756054,0.0003,0.0003,0.0
18,0.008858667904100823,0.0002,0.0002,0.0001
18,0.011288378916846888,0.0007,0.0007,0.0002
18,0.01438449888287663,0.0016,0.0016,0.0006
18,0.018329807108324356,0.0026,0.0026,0.0006
18,0.023357214690901212,0.0064,0.0064,0.0013
18,0.029763514416313176,0.0102,0.0099,0.003
18,0.0379269019073225,0.0164,0.016,0.0032
18,0.04832930238571752,0.0276,0.0273,0.0052
18,0.06158482110660261,0.044,0.0418,0.0099
18,0.07847599703514611,0.0736,0.0705,0.016
18,0.1,0.1228,0.1149,0.0332
20,0.001,0.0002,0.0002,0.0
20,0.0012742749857031334,0.0,0.0,0.0
20,0.0016237767391887208,0.0,0.0,0.0
20,0.00206913808111479,0.0,0.0,0.0
20,0.0026366508987303583,0.0001,0.0001,0.0
20,0.003359818286283781,0.0,0.0,0.0
20,0.004281332398719396,0.0001,0.0001,0.0001
20,0.00545559478116852,0.0005,0.0005,0.0
20,0.0069519279617756054,0.0002,0.0002,0.0
20,0.008858667904100823,0.0001,0.0001,0.0
20,0.011288378916846888,0.0006,0.0006,0.0001
20,0.01438449888287663,0.0014,0.0013,0.0004
20,0.018329807108324356,0.0027,0.0025,0.0007
20,0.023357214690901212,0.0044,0.0043,0.0007
20,0.029763514416313176,0.0078,0.0076,0.0013
20,0.0379269019073225,0.016,0.0158,0.0026
20,0.04832930238571752,0.027,0.0256,0.0052
20,0.06158482110660261,0.0403,0.0384,0.0084
20,0.07847599703514611,0.0763,0.0726,0.0174
20,0.1,0.1222,0.1136,0.0282
22,0.001,0.0,0.0,0.0
22,0.0012742749857031334,0.0,0.0,0.0
22,0.0016237767391887208,0.0,0.0,0.0
22,0.00206913808111479,0.0,0.0,0.0
22,0.0026366508987303583,0.0,0.0,0.0
22,0.003359818286283781,0.0,0.0,0.0
22,0.004281332398719396,0.0,0.0,0.0
22,0.00545559478116852,0.0001,0.0001,0.0
22,0.0069519279617756054,0.0,0.0,0.0
22,0.008858667904100823,0.0003,0.0003,0.0001
22,0.011288378916846888,0.0004,0.0004,0.0
22,0.01438449888287663,0.0009,0.0008,0.0001
22,0.018329807108324356,0.0015,0.0014,0.0004
22,0.023357214690901212,0.0043,0.0042,0.0003
22,0.029763514416313176,0.008,0.0076,0.0012
22,0.0379269019073225,0.0166,0.016,0.0019
22,0.04832930238571752,0.0255,0.0246,0.0035
22,0.06158482110660261,0.0471,0.0439,0.0092
22,0.07847599703514611,0.0784,0.0732,0.0137
22,0.1,0.1378,0.1295,0.028
24,0.001,0.0,0.0,0.0
24,0.0012742749857031334,0.0,0.0,0.0
24,0.0016237767391887208,0.0,0.0,0.0
24,0.00206913808111479,0.0,0.0,0.0
24,0.0026366508987303583,0.0,0.0,0.0
24,0.003359818286283781,0.0,0.0,0.0
24,0.004281332398719396,0.0001,0.0001,0.0
24,0.00545559478116852,0.0001,0.0001,0.0
24,0.0069519279617756054,0.0001,0.0001,0.0
24,0.008858667904100823,0.0006,0.0006,0.0
24,0.011288378916846888,0.0002,0.0001,0.0001
24,0.01438449888287663,0.0011,0.0011,0.0001
24,0.018329807108324356,0.0021,0.002,0.0005
24,0.023357214690901212,0.0029,0.0028,0.0003
24,0.029763514416313176,0.0064,0.006,0.0014
24,0.0379269019073225,0.0125,0.0121,0.002
24,0.04832930238571752,0.0217,0.0209,0.0028
24,0.06158482110660261,0.0439,0.0425,0.0065
24,0.07847599703514611,0.0817,0.0763,0.0142
24,0.1,0.1313,0.1226,0.0243
26,0.001,0.0,0.0,0.0
26,0.0012742749857031334,0.0,0.0,0.0
26,0.0016237767391887208,0.0,0.0,0.0
26,0.00206913808111479,0.0,0.0,0.0
26,0.0026366508987303583,0.0,0.0,0.0
26,0.003359818286283781,0.0,0.0,0.0
26,0.004281332398719396,0.0,0.0,0.0
26,0.00545559478116852,0.0001,0.0001,0.0
26,0.0069519279617756054,0.0001,0.0001,0.0
26,0.008858667904100823,0.0001,0.0001,0.0
26,0.011288378916846888,0.0005,0.0004,0.0001
26,0.01438449888287663,0.0007,0.0007,0.0001
26,0.018329807108324356,0.0014,0.0013,0.0004
26,0.023357214690901212,0.0031,0.0031,0.0001
26,0.029763514416313176,0.0058,0.0056,0.0008
26,0.0379269019073225,0.0113,0.0109,0.001
26,0.04832930238571752,0.024,0.0232,0.0024
26,0.06158482110660261,0.0446,0.0428,0.0071
26,0.07847599703514611,0.0738,0.0698,0.0134
26,0.1,0.1384,0.1288,0.0252
28,0.001,0.0,0.0,0.0
28,0.0012742749857031334,0.0,0.0,0.0
28,0.0016237767391887208,0.0,0.0,0.0
28,0.00206913808111479,0.0,0.0,0.0
28,0.0026366508987303583,0.0,0.0,0.0
28,0.003359818286283781,0.0,0.0,0.0
28,0.004281332398719396,0.0,0.0,0.0
28,0.00545559478116852,0.0,0.0,0.0
28,0.0069519279617756054,0.0,0.0,0.0
28,0.008858667904100823,0.0003,0.0003,0.0
28,0.011288378916846888,0.0003,0.0003,0.0
28,0.01438449888287663,0.0005,0.0005,0.0
28,0.018329807108324356,0.0013,0.0013,0.0
28,0.023357214690901212,0.0025,0.0025,0.0002
28,0.029763514416313176,0.0042,0.004,0.0003
28,0.0379269019073225,0.0113,0.0107,0.0017
