n,p,total_logical_error_rate,x_logical_error_rate,z_logical_error_rate
4,0.001,0.0007,0.0002,0.0007
4,0.0012742749857031334,0.0012,0.0007,0.0012
4,0.0016237767391887208,0.0019,0.0008,0.0019
4,0.00206913808111479,0.0022,0.0009,0.0022
4,0.0026366508987303583,0.0023,0.0014,0.0023
4,0.003359818286283781,0.0033,0.0013,0.0033
4,0.004281332398719396,0.0042,0.002,0.0042
4,0.00545559478116852,0.0061,0.0033,0.0061
4,0.0069519279617756054,0.0084,0.0045,0.0084
4,0.008858667904100823,0.0094,0.0042,0.0094
4,0.011288378916846888,0.0116,0.0059,0.0116
4,0.01438449888287663,0.0136,0.0064,0.0135
4,0.018329807108324356,0.0185,0.0088,0.0185
4,0.023357214690901212,0.0251,0.0128,0.025
4,0.029763514416313176,0.0299,0.0159,0.0297
4,0.0379269019073225,0.0371,0.0207,0.0366
4,0.04832930238571752,0.048,0.0252,0.0475
4,0.06158482110660261,0.0639,0.0322,0.0631
4,0.07847599703514611,0.0768,0.0411,0.0752
4,0.1,0.1025,0.0546,0.0994
6,0.001,0.0014,0.0007,0.0014
6,0.0012742749857031334,0.0017,0.0007,0.0017
6,0.0016237767391887208,0.0013,0.0006,0.0013
6,0.00206913808111479,0.0014,0.0007,0.0014
6,0.0026366508987303583,0.0031,0.001,0.0031
6,0.003359818286283781,0.0032,0.0014,0.0032
6,0.004281332398719396,0.0046,0.0019,0.0046
6,0.00545559478116852,0.0054,0.0026,0.0054
6,0.0069519279617756054,0.0062,0.0028,0.0061
6,0.008858667904100823,0.0096,0.005,0.0096
6,0.011288378916846888,0.0106,0.005,0.0105
6,0.01438449888287663,0.0145,0.0083,0.0144
6,0.018329807108324356,0.0189,0.0088,0.0188
6,0.023357214690901212,0.0231,0.011,0.023
6,0.029763514416313176,0.0311,0.0158,0.0306
6,0.0379269019073225,0.0376,0.0185,0.0373
6,0.04832930238571752,0.0482,0.0246,0.0477
6,0.06158482110660261,0.063,0.0333,0.0625
6,0.07847599703514611,0.0772,0.0388,0.076
6,0.1,0.0949,0.0528,0.0928
8,0.001,0.0007,0.0004,0.0007
8,0.0012742749857031334,0.0017,0.0006,0.0017
8,0.0016237767391887208,0.0014,0.0005,0.0014
8,0.00206913808111479,0.0014,0.001,0.0014
8,0.0026366508987303583,0.0021,0.0012,0.0021
8,0.003359818286283781,0.0034,0.0018,0.0034
8,0.004281332398719396,0.0043,0.0024,0.0043
8,0.00545559478116852,0.005,0.0023,0.005
8,0.0069519279617756054,0.0072,0.004,0.0072
8,0.008858667904100823,0.0104,0.0053,0.0103
8,0.011288378916846888,0.0118,0.0062,0.0118
8,0.01438449888287663,0.0158,0.0072,0.0156
8,0.018329807108324356,0.0196,0.0091,0.0194
8,0.023357214690901212,0.0229,0.0119,0.0228
8,0.029763514416313176,0.0285,0.0149,0.0282
8,0.0379269019073225,0.0393,0.0214,0.0386
8,0.04832930238571752,0.0467,0.0223,0.0463
8,0.06158482110660261,0.0611,0.033,0.0601
8,0.07847599703514611,0.077,0.0389,0.0747
8,0.1,0.0976,0.0485,0.0944
12,0.001,0.0019,0.0007,0.0019
12,0.0012742749857031334,0.0023,0.0008,0.0023
12,0.0016237767391887208,0.0026,0.0016,0.0026
12,0.00206913808111479,0.0041,0.0022,0.0041
12,0.0026366508987303583,0.0053,0.0025,0.0053
12,0.003359818286283781,0.0073,0.0037,0.0072
12,0.004281332398719396,0.0087,0.004,0.0087
12,0.00545559478116852,0.0125,0.0065,0.0125
12,0.0069519279617756054,0.0156,0.0077,0.0154
12,0.008858667904100823,0.0207,0.0101,0.0203
12,0.011288378916846888,0.0223,0.0106,0.0213
12,0.01438449888287663,0.032,0.0175,0.0316
12,0.018329807108324356,0.0398,0.0186,0.0391
12,0.023357214690901212,0.0572,0.0256,0.0554
12,0.029763514416313176,0.0599,0.0282,0.0579
12,0.0379269019073225,0.0817,0.0395,0.0782
12,0.04832930238571752,0.0983,0.0469,0.0928
12,0.06158482110660261,0.1463,0.0714,0.1407
12,0.07847599703514611,0.1702,0.0789,0.1568
12,0.1,0.2367,0.1181,0.2206
14,0.001,0.0027,0.0013,0.0027
14,0.0012742749857031334,0.0036,0.0019,0.0036
14,0.0016237767391887208,0.0057,0.003,0.0057
14,0.00206913808111479,0.0057,0.0029,0.0057
14,0.0026366508987303583,0.0077,0.0047,0.0077
14,0.003359818286283781,0.0124,0.0063,0.0124
14,0.004281332398719396,0.0144,0.0082,0.0144
14,0.00545559478116852,0.0157,0.0071,0.0156
14,0.0069519279617756054,0.019,0.0108,0.0188
14,0.008858667904100823,0.0256,0.0143,0.0247
14,0.011288378916846888,0.0317,0.0165,0.031
14,0.01438449888287663,0.0409,0.0215,0.04
14,0.018329807108324356,0.05,0.0249,0.0485
14,0.023357214690901212,0.0581,0.0281,0.0545
14,0.029763514416313176,0.039,0.0161,0.0376
14,0.0379269019073225,0.0513,0.0217,0.049
14,0.04832930238571752,0.0763,0.0354,0.0723
14,0.06158482110660261,0.105,0.0418,0.0973
14,0.07847599703514611,0.1343,0.0554,0.1248
14,0.1,0.1706,0.0702,0.1532
16,0.001,0.0011,0.0005,0.0011
16,0.0012742749857031334,0.0014,0.0005,0.0014
16,0.0016237767391887208,0.0012,0.0007,0.0012
16,0.00206913808111479,0.0027,0.0014,0.0027
16,0.0026366508987303583,0.0036,0.0013,0.0036
16,0.003359818286283781,0.0026,0.0009,0.0026
16,0.004281332398719396,0.0044,0.0022,0.0044
16,0.00545559478116852,0.0061,0.0031,0.006
16,0.0069519279617756054,0.0082,0.0036,0.0082
16,0.008858667904100823,0.0113,0.0038,0.0113
16,0.011288378916846888,0.0066,0.002,0.0066
16,0.01438449888287663,0.0587,0.0285,0.0572
16,0.018329807108324356,0.0727,0.0355,0.0711
16,0.023357214690901212,0.0378,0.0151,0.0373
16,0.029763514416313176,0.0502,0.021,0.0496
16,0.0379269019073225,0.1561,0.0822,0.1477
16,0.04832930238571752,0.1717,0.0861,0.1595
16,0.06158482110660261,0.1165,0.0381,0.1089
16,0.07847599703514611,0.2014,0.0741,0.1827
16,0.1,0.3165,0.122,0.2801
18,0.001,0.0014,0.0008,0.0014
18,0.0012742749857031334,0.0017,0.0008,0.0016
18,0.0016237767391887208,0.0013,0.0006,0.0013
18,0.00206913808111479,0.0031,0.0012,0.0031
18,0.0026366508987303583,0.0031,0.0015,0.0031
18,0.003359818286283781,0.0039,0.0024,0.0039
18,0.004281332398719396,0.0037,0.0023,0.0036
18,0.00545559478116852,0.0057,0.0022,0.0056
18,0.0069519279617756054,0.0011,0.0001,0.0011
18,0.008858667904100823,0.0018,0.0005,0.0018
18,0.011288378916846888,0.0024,0.0007,0.0024
18,0.01438449888287663,0.003,0.001,0.003
18,0.018329807108324356,0.0063,0.0013,0.0063
18,0.023357214690901212,0.0113,0.0027,0.0112
18,0.029763514416313176,0.0326,0.0148,0.0301
18,0.0379269019073225,0.0696,0.0324,0.063
18,0.04832930238571752,0.0355,0.0085,0.034
18,0.06158482110660261,0.0616,0.0151,0.0586
18,0.07847599703514611,0.0908,0.0226,0.0862
