noise_model,n,d,r,p,code_type,shots,errors,total_logical_error_rate,mean_objective_value,average_cpu_time_seconds
depolarizing,15,3,9,0.0013894954943731376,tetrahedral,10000,0,0.0,0.0,0.0
depolarizing,15,3,9,0.0008483428982440717,tetrahedral,10000,0,0.0,0.0,0.0
depolarizing,15,3,9,9.999999999999999e-06,tetrahedral,10000,0,0.0,0.0,0.0
depolarizing,15,3,9,1.6378937069540644e-05,tetrahedral,10000,0,0.0,0.0,0.0
depolarizing,15,3,9,4.3939705607607866e-05,tetrahedral,10000,0,0.0,0.0,0.0
depolarizing,15,3,9,7.196856730011513e-05,tetrahedral,10000,0,0.0,0.0,0.0
depolarizing,15,3,9,2.6826957952797274e-05,tetrahedral,10000,0,0.0,0.0,0.0
depolarizing,15,3,9,0.00011787686347935867,tetrahedral,10000,0,0.0,0.0,0.0
depolarizing,15,3,9,0.00019306977288832496,tetrahedral,10000,0,0.0,0.0,0.0
depolarizing,15,3,9,0.00031622776601683794,tetrahedral,10000,0,0.0,0.0,0.0
depolarizing,15,3,9,0.0005179474679231212,tetrahedral,10000,0,0.0,0.0,0.0
depolarizing,15,3,9,0.0022758459260747883,tetrahedral,10000,3,0.0003,0.0,0.0
depolarizing,15,3,9,0.01,tetrahedral,2069,114,0.055099081681971966,0.0,0.0
depolarizing,65,5,15,9.999999999999999e-06,tetrahedral,10000,0,0.0,0.0,0.0
depolarizing,65,5,15,1.6378937069540644e-05,tetrahedral,10000,0,0.0,0.0,0.0
depolarizing,15,3,9,0.003727593720314938,tetrahedral,10000,20,0.002,0.0,0.0
depolarizing,15,3,9,0.006105402296585326,tetrahedral,6552,94,0.014346764346764346,0.0,0.0
depolarizing,65,5,15,2.6826957952797274e-05,tetrahedral,10000,0,0.0,0.0,0.0
depolarizing,65,5,15,4.3939705607607866e-05,tetrahedral,10000,0,0.0,0.0,0.0
depolarizing,65,5,15,7.196856730011513e-05,tetrahedral,10000,0,0.0,0.0,0.0
depolarizing,65,5,15,0.00011787686347935867,tetrahedral,10000,0,0.0,0.0,0.0
depolarizing,65,5,15,0.00019306977288832496,tetrahedral,10000,0,0.0,0.0,0.0
depolarizing,65,5,15,0.00031622776601683794,tetrahedral,10000,0,0.0,0.0,0.0
depolarizing,65,5,15,0.0005179474679231212,tetrahedral,10000,0,0.0,0.0,0.0
depolarizing,65,5,15,0.0008483428982440717,tetrahedral,5511,0,0.0,0.0,0.0
depolarizing,65,5,15,0.0013894954943731376,tetrahedral,1341,0,0.0,0.0,0.0
depolarizing,65,5,15,0.0022758459260747883,tetrahedral,102,0,0.0,0.0,0.0
depolarizing,65,5,15,0.003727593720314938,tetrahedral,10,1,0.1,0.0,0.0
depolarizing,175,7,21,9.999999999999999e-06,tetrahedral,10000,0,0.0,0.0,0.0
depolarizing,175,7,21,1.6378937069540644e-05,tetrahedral,10000,0,0.0,0.0,0.0
depolarizing,175,7,21,2.6826957952797274e-05,tetrahedral,10000,0,0.0,0.0,0.0
depolarizing,175,7,21,4.3939705607607866e-05,tetrahedral,10000,0,0.0,0.0,0.0
depolarizing,175,7,21,7.196856730011513e-05,tetrahedral,10000,0,0.0,0.0,0.0
depolarizing,175,7,21,0.00011787686347935867,tetrahedral,7757,0,0.0,0.0,0.0
depolarizing,175,7,21,0.00019306977288832496,tetrahedral,3983,0,0.0,0.0,0.0
depolarizing,175,7,21,0.00031622776601683794,tetrahedral,1365,0,0.0,0.0,0.0
depolarizing,175,7,21,0.0005179474679231212,tetrahedral,336,0,0.0,0.0,0.0
