noise_model,n,d,r,p,code_type,shots,errors,total_logical_error_rate,mean_objective_value,average_cpu_time_seconds
depolarizing,4,2,10,0.00021544346900318823,self_dual,1000000,451,0.000451,0.9881690924351192,0.0007089849351909704
depolarizing,4,2,10,2.7825594022071256e-05,self_dual,1000000,68,6.8e-05,0.9881690924351192,0.0007089849351909704
depolarizing,4,2,10,0.00012915496650148838,self_dual,1000000,262,0.000262,0.9881690924351192,0.0007089849351909704
depolarizing,4,2,10,7.742636826811277e-05,self_dual,1000000,154,0.000154,0.9881690924351192,0.0007089849351909704
depolarizing,4,2,10,4.6415888336127825e-05,self_dual,1000000,94,9.4e-05,0.9881690924351192,0.0007089849351909704
depolarizing,4,2,10,1.6681005372000593e-05,self_dual,1000000,29,2.9e-05,0.9881690924351192,0.0007089849351909704
depolarizing,4,2,10,0.00035938136638046257,self_dual,1000000,711,0.000711,0.9881690924351192,0.0007089849351909704
depolarizing,4,2,10,0.0005994842503189409,self_dual,1000000,1197,0.001197,0.9881690924351192,0.0007089849351909704
depolarizing,4,2,10,9.999999999999999e-06,self_dual,1000000,17,1.7e-05,0.9881690924351192,0.0007089849351909704
depolarizing,4,2,10,0.001,self_dual,1000000,1999,0.001999,0.9881690924351192,0.0007089849351909704
depolarizing,6,2,10,1.6681005372000593e-05,self_dual,1000000,26,2.6e-05,0.9881690924351192,0.0007089849351909704
depolarizing,6,2,10,9.999999999999999e-06,self_dual,1000000,25,2.5e-05,0.9881690924351192,0.0007089849351909704
depolarizing,6,2,10,2.7825594022071256e-05,self_dual,1000000,47,4.7e-05,0.9881690924351192,0.0007089849351909704
depolarizing,6,2,10,4.6415888336127825e-05,self_dual,1000000,92,9.2e-05,0.9881690924351192,0.0007089849351909704
depolarizing,6,2,10,7.742636826811277e-05,self_dual,1000000,144,0.000144,0.9881690924351192,0.0007089849351909704
depolarizing,6,2,10,0.00012915496650148838,self_dual,1000000,275,0.000275,0.9881690924351192,0.0007089849351909704
depolarizing,6,2,10,0.00021544346900318823,self_dual,1000000,461,0.000461,0.9881690924351192,0.0007089849351909704
depolarizing,6,2,10,0.00035938136638046257,self_dual,1000000,732,0.000732,0.9881690924351192,0.0007089849351909704
depolarizing,6,2,10,0.0005994842503189409,self_dual,1000000,1199,0.001199,0.9881690924351192,0.0007089849351909704
depolarizing,6,2,10,0.001,self_dual,1000000,2007,0.002007,0.9881690924351192,0.0007089849351909704
depolarizing,8,2,10,9.999999999999999e-06,self_dual,1000000,18,1.8e-05,0.9881690924351192,0.0007089849351909704
