Optimization Summary (Code Type: self_dual)
========================================
n      | Eff. D   | Theor. D
----------------------------
4      | 1        | 2       
6      | 1        | 2       
8      | 1        | 2       
10     | 1        | 2       
12     | 3        | 4       
14     | 3        | 4       
16     | 0        | 4       
18     | 0        | 4       
20     | 0        | 4       
22     | 0        | 6       
24     | 0        | 6       
26     | 0        | 6       
28     | 0        | 6       
30     | 0        | 6       
32     | 0        | 8       
34     | 0        | 6       
36     | 0        | 8       
38     | 0        | 8       
40     | 0        | 8       
42     | 0        | 8       
44     | 0        | 8       
46     | 0        | 8       
48     | 0        | 8       
50     | 0        | 8       
52     | 0        | 10      
54     | 0        | 8       
56     | 0        | 10      
58     | 0        | 10      
60     | 0        | 12      
62     | 0        | 10      
64     | 0        | 10      
