n,p,shots,total_logical_error_rate,total_err_low,total_err_high,x_logical_error_rate,x_err_low,x_err_high,z_logical_error_rate,z_err_low,z_err_high,average_cpu_time_seconds
4,0.001,100000,0,0,0,0,0,0,0,0,0,3.77468e-08
4,0.00127427,100000,0,0,0,0,0,0,0,0,0,7.73099e-08
4,0.00162378,100000,0,0,0,0,0,0,0,0,0,7.21755e-08
4,0.00206914,100000,0,0,0,0,0,0,0,0,0,5.36164e-08
4,0.00263665,100000,0,0,0,0,0,0,0,0,0,4.98571e-08
4,0.00335982,100000,0,0,0,0,0,0,0,0,0,6.38446e-08
4,0.00428133,100000,0,0,0,0,0,0,0,0,0,5.86495e-08
4,0.00545559,100000,0,0,0,0,0,0,0,0,0,4.50774e-08
4,0.00695193,100000,0,0,0,0,0,0,0,0,0,6.74821e-08
4,0.00885867,100000,0,0,0,0,0,0,0,0,0,6.24945e-08
4,0.0112884,100000,0,0,0,0,0,0,0,0,0,7.11615e-08
4,0.0143845,100000,0,0,0,0,0,0,0,0,0,7.48322e-08
4,0.0183298,100000,0,0,0,0,0,0,0,0,0,8.66829e-08
4,0.0233572,100000,0,0,0,0,0,0,0,0,0,9.87279e-08
4,0.0297635,100000,0,0,0,0,0,0,0,0,0,1.1506e-07
4,0.0379269,100000,0,0,0,0,0,0,0,0,0,1.20901e-07
4,0.0483293,100000,0,0,0,0,0,0,0,0,0,1.3658e-07
4,0.0615848,100000,0,0,0,0,0,0,0,0,0,1.77664e-07
4,0.078476,100000,0,0,0,0,0,0,0,0,0,1.95228e-07
4,0.1,100000,0,0,0,0,0,0,0,0,0,2.2545e-07
6,0.001,100000,0,0,0,0,0,0,0,0,0,5.87216e-08
6,0.00127427,100000,0,0,0,0,0,0,0,0,0,9.02595e-08
6,0.00162378,100000,0,0,0,0,0,0,0,0,0,8.17708e-08
6,0.00206914,100000,0,0,0,0,0,0,0,0,0,6.82269e-08
6,0.00263665,100000,0,0,0,0,0,0,0,0,0,7.86741e-08
6,0.00335982,100000,0,0,0,0,0,0,0,0,0,8.71494e-08
6,0.00428133,100000,0,0,0,0,0,0,0,0,0,8.64213e-08
6,0.00545559,100000,0,0,0,0,0,0,0,0,0,9.80132e-08
6,0.00695193,100000,0,0,0,0,0,0,0,0,0,1.00346e-07
6,0.00885867,100000,0,0,0,0,0,0,0,0,0,1.03655e-07
6,0.0112884,100000,0,0,0,0,0,0,0,0,0,1.18139e-07
6,0.0143845,100000,0,0,0,0,0,0,0,0,0,1.13212e-07
6,0.0183298,100000,0,0,0,0,0,0,0,0,0,1.60047e-07
6,0.0233572,100000,0,0,0,0,0,0,0,0,0,1.75501e-07
6,0.0297635,100000,0,0,0,0,0,0,0,0,0,1.81178e-07
6,0.0379269,100000,0,0,0,0,0,0,0,0,0,2.14434e-07
6,0.0483293,100000,0,0,0,0,0,0,0,0,0,2.05419e-07
6,0.0615848,100000,0,0,0,0,0,0,0,0,0,2.60229e-07
6,0.078476,100000,0,0,0,0,0,0,0,0,0,3.70157e-07
6,0.1,100000,0,0,0,0,0,0,0,0,0,4.85659e-07
8,0.001,100000,0,0,0,0,0,0,0,0,0,1.04431e-07
8,0.00127427,100000,0,0,0,0,0,0,0,0,0,8.70831e-08
8,0.00162378,100000,0,0,0,0,0,0,0,0,0,9.40209e-08
8,0.00206914,100000,0,0,0,0,0,0,0,0,0,1.11097e-07
8,0.00263665,100000,0,0,0,0,0,0,0,0,0,1.03414e-07
8,0.00335982,100000,0,0,0,0,0,0,0,0,0,1.10754e-07
8,0.00428133,100000,0,0,0,0,0,0,0,0,0,1.20863e-07
8,0.00545559,100000,0,0,0,0,0,0,0,0,0,1.33837e-07
8,0.00695193,100000,0,0,0,0,0,0,0,0,0,1.3502e-07
8,0.00885867,100000,0,0,0,0,0,0,0,0,0,1.4865e-07
8,0.0112884,100000,0,0,0,0,0,0,0,0,0,1.64226e-07
8,0.0143845,100000,0,0,0,0,0,0,0,0,0,1.88659e-07
8,0.0183298,100000,0,0,0,0,0,0,0,0,0,2.33646e-07
8,0.0233572,100000,0,0,0,0,0,0,0,0,0,2.68924e-07
8,0.0297635,100000,0,0,0,0,0,0,0,0,0,2.88971e-07
8,0.0379269,100000,0,0,0,0,0,0,0,0,0,4.07343e-07
8,0.0483293,100000,0,0,0,0,0,0,0,0,0,4.23933e-07
8,0.0615848,100000,0,0,0,0,0,0,0,0,0,4.9121e-07
8,0.078476,100000,0,0,0,0,0,0,0,0,0,5.43538e-07
8,0.1,100000,0,0,0,0,0,0,0,0,0,7.22488e-07
12,0.001,100000,0,0,0,0,0,0,0,0,0,1.75427e-07
12,0.00127427,100000,0,0,0,0,0,0,0,0,0,1.54427e-07
12,0.00162378,100000,0,0,0,0,0,0,0,0,0,1.5775e-07
12,0.00206914,100000,0,0,0,0,0,0,0,0,0,1.39679e-07
12,0.00263665,100000,0,0,0,0,0,0,0,0,0,1.70126e-07
12,0.00335982,100000,0,0,0,0,0,0,0,0,0,1.56849e-07
12,0.00428133,100000,0,0,0,0,0,0,0,0,0,1.70281e-07
12,0.00545559,100000,0,0,0,0,0,0,0,0,0,1.71065e-07
12,0.00695193,100000,0,0,0,0,0,0,0,0,0,1.61633e-07
12,0.00885867,100000,0,0,0,0,0,0,0,0,0,1.81101e-07
12,0.0112884,100000,0,0,0,0,0,0,0,0,0,2.06819e-07
12,0.0143845,100000,0,0,0,0,0,0,0,0,0,2.06459e-07
12,0.0183298,100000,0,0,0,0,0,0,0,0,0,2.77149e-07
12,0.0233572,100000,0,0,0,0,0,0,0,0,0,2.90634e-07
12,0.0297635,100000,0,0,0,0,0,0,0,0,0,3.6587e-07
12,0.0379269,100000,0,0,0,0,0,0,0,0,0,4.46562e-07
12,0.0483293,100000,0,0,0,0,0,0,0,0,0,5.02344e-07
12,0.0615848,100000,0,0,0,0,0,0,0,0,0,7.52912e-07
12,0.078476,100000,0,0,0,0,0,0,0,0,0,9.20717e-07
12,0.1,100000,0,0,0,0,0,0,0,0,0,1.32845e-06
14,0.001,100000,0,0,0,0,0,0,0,0,0,1.57707e-07
14,0.00127427,100000,0,0,0,0,0,0,0,0,0,1.7839e-07
14,0.00162378,100000,0,0,0,0,0,0,0,0,0,1.58934e-07
14,0.00206914,100000,0,0,0,0,0,0,0,0,0,2.04698e-07
14,0.00263665,100000,0,0,0,0,0,0,0,0,0,1.6774e-07
14,0.00335982,100000,0,0,0,0,0,0,0,0,0,1.64236e-07
14,0.00428133,100000,0,0,0,0,0,0,0,0,0,1.77622e-07
14,0.00545559,100000,0,0,0,0,0,0,0,0,0,1.65809e-07
14,0.00695193,100000,0,0,0,0,0,0,0,0,0,1.78489e-07
14,0.00885867,100000,0,0,0,0,0,0,0,0,0,2.18629e-07
14,0.0112884,100000,0,0,0,0,0,0,0,0,0,2.32201e-07
14,0.0143845,100000,0,0,0,0,0,0,0,0,0,2.32711e-07
14,0.0183298,100000,0,0,0,0,0,0,0,0,0,3.08671e-07
14,0.0233572,100000,0,0,0,0,0,0,0,0,0,3.69914e-07
14,0.0297635,100000,0,0,0,0,0,0,0,0,0,4.42326e-07
14,0.0379269,100000,0,0,0,0,0,0,0,0,0,6.45781e-07
14,0.0483293,100000,0,0,0,0,0,0,0,0,0,7.40256e-07
14,0.0615848,100000,0,0,0,0,0,0,0,0,0,1.02474e-06
14,0.078476,100000,0,0,0,0,0,0,0,0,0,1.48578e-06
14,0.1,100000,0,0,0,0,0,0,0,0,0,2.36979e-06
16,0.001,100000,0,0,0,0,0,0,0,0,0,1.76294e-07
16,0.00127427,100000,0,0,0,0,0,0,0,0,0,2.04961e-07
